,food,image,fat,available,trialstart,hilo,Null
0,stimuli/m_and_m.jpg,39,1,1,0,hi,1
1,stimuli/yogurt pretzels.jpg,76,1,1,5,hi,3
2,stimuli/mozarella sticks.jpg,43,1,1,12,hi,1
3,stimuli/yogurt no spoon.jpg,75,0,1,17,lo,2
4,stimuli/corn cob.jpg,21,0,0,23,lo,3
5,stimuli/1%milk.jpg,1,0,1,30,lo,1
6,stimuli/reeses.jpg,53,1,1,35,hi,2
7,stimuli/kiwi.jpg,37,0,0,41,lo,1
8,stimuli/orange slices.jpg,45,0,1,46,lo,4
9,stimuli/baby cheese.jpg,6,1,1,54,hi,1
10,stimuli/Tribe humus pita.jpg,71,1,1,59,hi,1
11,stimuli/rigatoni and sauce.jpg,55,0,0,64,lo,2
12,stimuli/Cheese nachos.jpg,16,1,0,70,hi,1
13,stimuli/bagel plain.jpg,8,0,1,75,lo,2
14,stimuli/burger.jpg,14,1,0,81,hi,2
15,stimuli/air popcorn.jpg,2,0,1,87,lo,2
16,stimuli/string cheese.jpg,67,1,1,93,hi,1
17,stimuli/celery and carrot sticks.jpg,15,0,1,98,lo,3
18,stimuli/raisin bran w milk.jpg,51,0,1,105,lo,1
19,stimuli/seaweed.jpg,60,0,1,110,lo,1
20,stimuli/green beans.jpg,31,0,1,115,lo,7
21,stimuli/sushi w_condiments.jpg,68,0,1,126,lo,1
22,stimuli/baguette oil.jpg,9,1,1,131,hi,4
23,stimuli/grilled cheese.jpg,32,1,1,139,hi,1
24,stimuli/eggs.jpg,25,1,1,144,hi,2
25,stimuli/Hershey Kisses.jpg,34,1,1,150,hi,1
26,stimuli/apple slices.jpg,4,0,1,155,lo,1
27,stimuli/rigatoni.jpg,56,0,0,160,lo,1
28,stimuli/hotdog w must.jpg,35,1,1,165,hi,1
29,stimuli/grilled chicken strips.jpg,33,0,1,170,lo,1
30,stimuli/trail mix.jpg,70,1,1,175,hi,6
31,stimuli/mini muffins.jpg,42,1,1,185,hi,2
32,stimuli/Pretzels.jpg,50,0,1,191,lo,1
33,stimuli/fried eggs.jpg,27,1,1,196,hi,5
34,stimuli/granola w milk.jpg,29,1,1,205,hi,1
35,stimuli/chicken nuggets2.jpg,19,1,1,210,hi,5
36,stimuli/broccoli cauliflower.jpg,12,0,1,219,lo,2
37,stimuli/soy chips.jpg,64,0,0,225,lo,3
38,stimuli/pickles.jpg,48,0,1,232,lo,8
39,stimuli/lollipops.jpg,38,0,1,244,lo,2
40,stimuli/froot loops w milk.jpg,28,0,1,250,lo,1
41,stimuli/cucumber slices.jpg,22,0,1,255,lo,3
42,stimuli/banana.jpg,11,0,1,262,lo,4
43,stimuli/bagel and cc.jpg,7,1,1,270,hi,2
44,stimuli/PB.jpg,46,1,1,276,hi,3
45,stimuli/peaches.jpg,47,0,0,283,lo,1
46,stimuli/ice cream sundae 002.jpg,36,1,1,288,hi,6
47,stimuli/Skim milk.jpg,61,0,1,298,lo,1
48,stimuli/Grapes.jpg,30,0,1,303,lo,2
49,stimuli/cupcakes am.jpg,23,1,1,309,hi,1
50,stimuli/soup with spoon.jpg,62,0,1,314,lo,5
51,stimuli/salad w chicken.jpg,58,1,1,323,hi,2
52,stimuli/mac & cheese.jpg,40,1,1,329,hi,2
53,stimuli/saltines.jpg,59,0,1,335,lo,1
54,stimuli/doughnuts.jpg,24,1,1,340,hi,3
55,stimuli/Whole milk.jpg,73,1,1,347,hi,6
56,stimuli/mushrooms.jpg,44,0,1,357,lo,1
57,stimuli/pizza.jpg,49,1,1,362,hi,1
58,stimuli/steak.jpg,65,1,0,367,hi,1
59,stimuli/yellow popcorn.jpg,74,1,1,372,hi,4
60,stimuli/cherry tomato.jpg,18,0,1,380,lo,3
61,stimuli/mashed potato.jpg,41,1,1,387,hi,3
62,stimuli/raisins.jpg,52,0,1,394,lo,2
63,stimuli/turkey sandwich.jpg,72,0,1,400,lo,2
64,stimuli/strawberries.jpg,66,0,1,406,lo,1
65,stimuli/french fries.jpg,26,1,1,411,hi,4
66,stimuli/rice cakes.jpg,54,0,1,419,lo,1
67,stimuli/baked potato.jpg,10,0,0,424,lo,1
68,stimuli/cherries.jpg,17,0,0,429,lo,7
69,stimuli/american cheese.jpg,3,1,1,440,hi,2
70,stimuli/tacos.jpg,69,1,0,446,hi,1
71,stimuli/ritz.jpg,57,1,1,451,hi,1
72,stimuli/cookies.jpg,20,1,1,456,hi,2
73,stimuli/sour patch.jpg,63,0,1,462,lo,1
74,stimuli/avacado.jpg,5,1,0,467,hi,1
75,stimuli/brownie.jpg,1,1,1,472,hi,4
